L&D TRACKER — Enterprise Infrastructure Implementation (Confirmed Stack)
Trainee Name:,[Your Name],Department:,Technology / Digital Onboarding,Mentor:,Senior DevOps Engineer
Project:,ePricing Service — Enterprise Upgrade,Updated Date:,14-Aug-2026,Status:,In Progress
Confirmed Stack:,Grafana · Prometheus · OpenTelemetry · Loki · Tempo · Dapr · Dynatrace · Kubernetes · YugabyteDB · PostgreSQL · SonarQube

Task ID,Phase,Module,Task Description,Start Date,Target Date,Actual End,Status,Priority,Prerequisites,Progress %,Effort Days,Success Criteria
AT-07,P1-A,PromQL Study + Dashboard Panels,Study rate()/histogram_quantile()/sum() by(); create JVM/HTTP/error rate/health panels,24-Jul-26,31-Jul-26,31-Jul-26,Completed,Medium,AT-06,100%,4,15 panels; le label requirement understood; error rate formula: sum(rate({status=~5..}[5m]))/total*100
AT-08,P1-A,Traffic Generator,Implement shell script: HOME_LOAN/AUTO_LOAN/PERSONAL_LOAN + error + slow request scenarios,24-Jul-26,31-Jul-26,31-Jul-26,Completed,Medium,AT-04,100%,1,All 15 panels live with traffic generator running
AT-09,P1-A,Dashboard Improvements,Fix panel ID conflicts; add row sections; add descriptions; export JSON for provisioning,31-Jul-26,06-Aug-26,06-Aug-26,Completed,Medium,"AT-07,AT-08",100%,1,Dashboard auto-loads on docker-compose up; all panels described
AT-10,P1-A,Testing & Validation,E2E test: all 6 Docker services; all 4 scrape targets UP; all 15 panels under load; alert rules inactive→pending→firing,05-Aug-26,08-Aug-26,08-Aug-26,Completed,High,AT-09,100%,2,All 15 panels verified; alert rule transitions confirmed
AT-11,P1-A,Documentation & Sign-Off,"Write README, ARCHITECTURE_EXPLAINED.md, Log Analysis Dashboard & Alertmanager docs; mentor demo & sign-off",08-Aug-26,20-Aug-26,-,In Progress,Medium,AT-10,75%,5,README + architecture docs drafted; Log Analysis Dashboard & Alertmanager added; mentor review on 17-Aug; sign-off target 20-Aug
  PHASE 1-B — Kubernetes Fundamentals  [IN PROGRESS],,,,,,,,,,,,
LD-01,P1-B — K8s,K8s Core Concepts,"Study: Node, Pod, Deployment, Service, ConfigMap, Secret, Namespace hierarchy",21-Aug-26,24-Aug-26,14-Aug-26,Completed,High,Docker knowledge,100%,1,Can explain Node→Pod→Container; can draw K8s architecture from memory
LD-02,P1-B — K8s,Local K8s Setup,Install kubectl + minikube; deploy Hello World pod; kubectl get pods shows Running,24-Aug-26,26-Aug-26,14-Aug-26,Completed,High,LD-01,100%,1,kubectl get nodes Ready; Hello World pod Running
LD-03,P1-B — K8s,Namespace + RBAC,Create epricing namespace; apply ServiceAccount + Role; verify cross-namespace access denied,14-Aug-26,28-Aug-26,14-Aug-26,Completed,High,LD-02,100%,1,kubectl get pods -n epricing works; cross-namespace denied
LD-04,P1-B — K8s,ConfigMap + Secret,Write ConfigMap (SPRING_PROFILES_ACTIVE) + Secret (DB creds); verify env var injection in pod,28-Aug-26,31-Aug-26,-,Not Started,High,LD-03,0%,1,kubectl describe pod shows env vars from ConfigMap+Secret
LD-05,P1-B — K8s,epricing Deployment,Write Deployment manifest (replicas:3) with liveness probe (/actuator/health) + readiness probe,31-Aug-26,03-Sep-26,-,Not Started,High,LD-04,0%,2,3 pods Running; kubectl rollout status complete; probes configured
LD-06,P1-B — K8s,K8s Service + Ingress,Write ClusterIP Service; configure Nginx Ingress exposing /api/v1; test with curl,03-Sep-26,05-Sep-26,-,Not Started,High,LD-05,0%,1,curl http://epricing.local/api/v1/health returns 200 OK
LD-07,P1-B — K8s,Horizontal Pod Autoscaler,Configure HPA (min:2 max:10 CPU>70%); run load test; observe pod scale-up,07-Sep-26,09-Sep-26,-,Not Started,Medium,LD-05,0%,1,kubectl get hpa shows CPU Targets increasing; pod count scales under load
LD-08,P1-B — K8s,Resource Requests + Limits,Set requests (256Mi/250m) and limits (512Mi/1000m) on all pods,09-Sep-26,11-Sep-26,-,Not Started,Medium,LD-05,0%,1,kubectl describe pod shows resources; OOMKilled does not occur under normal load
  PHASE 2 — Production Database (YugabyteDB / PostgreSQL + Flyway),,,,,,,,,,,,
LD-09,P2 — Database,YugabyteDB Container & K8s StatefulSet,Configure YugabyteDB 2.20+ with persistent volume; verify YSQL connectivity on port 5433,14-Aug-26,17-Aug-26,14-Aug-26,Completed,High,AT-06,100%,2,YSQL connects on :5433; data survives container restart
LD-10,P2 — Database,Spring Boot YugabyteDB Config,Add Yugabyte smart driver to pom.xml; configure application.yml datasource and HikariCP pool,14-Aug-26,17-Aug-26,14-Aug-26,Completed,High,LD-09,100%,1,/actuator/health shows db UP; Smart Driver load balancing enabled
LD-11,P2 — Database,Flyway Migrations (V1..V4),Write V1..V4 SQL migrations; configure Flyway in Spring Boot; verify auto-migration on startup,14-Aug-26,17-Aug-26,14-Aug-26,Completed,High,LD-10,100%,1,Flyway: Successfully applied migrations (V1 table V2 audit V3 indexes V4 seed)
LD-12,P2 — Database,Distributed DB Backup & DR Strategy,Document YugabyteDB snapshot / pg_dump backup and disaster recovery restore procedures,23-Sep-26,25-Sep-26,-,Not Started,Medium,LD-09,0%,1,Backup generates snapshot/SQL; restore works in test environment
  PHASE 3 — Enterprise Security (JWT + K8s Secrets + HTTPS + AuditLog),,,,,,,,,,,,
LD-13,P3 — Security,JWT Authentication,Add Spring Security 6 + oauth2-resource-server; protect /api/v1/pricing with JWT Bearer token,28-Sep-26,30-Sep-26,-,Not Started,High,LD-06,0%,2,401 without JWT; 200 OK with valid signed JWT
LD-14,P3 — Security,K8s Secrets Management,Move DB credentials to K8s Secrets; no plaintext passwords in any config file,30-Sep-26,02-Oct-26,-,Not Started,High,LD-04,0%,1,kubectl get secret shows credentials; no plaintext in YAML or application.yml
LD-15,P3 — Security,HTTPS / TLS on Ingress,Configure Ingress TLS with self-signed certificate; HTTP redirects to HTTPS,02-Oct-26,05-Oct-26,-,Not Started,High,LD-06,0%,1,curl https://epricing.local returns 200; HTTP redirects to HTTPS
LD-16,P3 — Security,Non-Root Container + Network Policy,Add runAsNonRoot:true securityContext; write NetworkPolicy allowing only Prometheus to scrape :8081,05-Oct-26,07-Oct-26,-,Not Started,Medium,LD-05,0%,1,whoami in pod = non-root; curl from traffic-generator to :8081 refused
LD-17,P3 — Security,@AuditLog AOP Interceptor,Implement @AuditLog AOP interceptor writing customerId + endpoint + timestamp to audit_log table,07-Oct-26,09-Oct-26,-,Not Started,High,LD-10,0%,2,Every POST /pricing creates audit_log row; AOP proxy verified in logs
  PHASE 4 — CI/CD Pipeline (GitHub Actions + SonarQube + Kubernetes Deploy),,,,,,,,,,,,
LD-18,P4 — CI/CD,GitHub Actions Setup,Create .github/workflows/ci.yml; run mvn clean test on push to main; GitHub Actions badge green,12-Oct-26,14-Oct-26,-,Not Started,High,Git repo setup,0%,1,GitHub Actions badge green on README
LD-19,P4 — CI/CD,Docker Build + Registry Push,Build Docker image in pipeline; push to container registry with git SHA tag,14-Oct-26,16-Oct-26,-,Not Started,High,LD-18,0%,1,Image pushed to registry with git SHA tag after each successful pipeline run
LD-20,P4 — CI/CD,Automated K8s Deploy,Add kubectl rollout step to update Deployment image to new tag in K8s,16-Oct-26,19-Oct-26,-,Not Started,High,LD-19,0%,1,Push to main → pipeline → K8s pods restart with new image within 3 minutes
LD-21,P4 — CI/CD,SonarQube Quality Gate,Deploy SonarQube on K8s / SonarCloud; add sonar-maven-plugin; configure Bugs/Vulnerabilities/Hotspots rules; block PR merge on FAILED Quality Gate,19-Oct-26,21-Oct-26,-,Not Started,High,LD-18,0%,2,Quality Gate PASSED on main; 0 Bugs and 0 Vulnerabilities; PR blocked on FAILED gate
LD-22,P4 — CI/CD,Staging vs Production Pipelines,Auto-deploy to staging on main push; manual approval gate for production via GitHub Environments,21-Oct-26,23-Oct-26,-,Not Started,High,LD-20,0%,2,Staging auto-deploys; production deploy waits for GitHub Environment approval
  PHASE 5 — Observability Scale-Up (K8s SD + Grafana Alerting + OTel Sampling + Dynatrace),,,,,,,,,,,,
LD-23,P5 — Obs Scale,Prometheus K8s Service Discovery,Configure kubernetes_sd_configs to scrape pods by label selector instead of static IPs,26-Oct-26,28-Oct-26,-,Not Started,High,LD-05,0%,1,Prometheus Targets shows epricing pods discovered dynamically by label
LD-24,P5 — Obs Scale,Grafana Alerting Rules,Configure Grafana built-in alerting: ErrorRate>5% for 2 min → notification channel (email/webhook); Loki retention 720h,28-Oct-26,30-Oct-26,-,Not Started,High,Grafana running,0%,1,Alert fires and notification sent when error rate threshold breached; Loki logs from 8 days ago queryable
LD-25,P5 — Obs Scale,OTel Sampling Strategy,Change OTel sampler to parentbased_traceidratio ratio=0.1 for high-traffic endpoints; validate no P95 latency degradation,02-Nov-26,04-Nov-26,-,Not Started,Medium,OTel Collector,0%,1,~10% traces in Tempo; no latency degradation
LD-26,P5 — Obs Scale,Dynatrace OTLP Integration,Configure OTel Collector to dual-export traces+metrics: Tempo (internal) + Dynatrace OTLP endpoint; review Davis AI topology map; add Dapr tracing to Grafana dashboard,04-Nov-26,06-Nov-26,-,Not Started,High,Dynatrace account + OTel running,0%,2,Same traceId visible in both Tempo and Dynatrace; Davis AI auto-discovers epricing service topology; Dapr sidecar spans visible
  PHASE 6 — K8s Infrastructure Utilization Dashboard (Container / Node / Pod),,,,,,,,,,,,
LD-27,P6 — K8s Dash,Node Exporter DaemonSet,Deploy Prometheus Node Exporter DaemonSet to collect host CPU/RAM/disk/network metrics per Node,09-Nov-26,11-Nov-26,-,Not Started,High,LD-05,0%,1,node_cpu_seconds_total appears per node; DaemonSet on every node
LD-28,P6 — K8s Dash,kube-state-metrics,"Deploy kube-state-metrics; expose Pod phase, HPA replicas, Deployment readiness, resource requests/limits to Prometheus",11-Nov-26,13-Nov-26,-,Not Started,High,LD-05,0%,1,kube_pod_container_resource_requests visible in Prometheus
LD-29,P6 — K8s Dash,Container Utilization Dashboard,Grafana panels: Container CPU % (container_cpu_usage_seconds_total); Container Memory vs limit; Container restart count,13-Nov-26,16-Nov-26,-,Not Started,High,"LD-27,LD-28",0%,2,Per-container CPU/RAM live; restart spikes visible for OOMKilled/crash-loop containers
LD-30,P6 — K8s Dash,Node Utilization Dashboard,Grafana panels: Node CPU % (1 - avg(rate(node_cpu_seconds_total{mode=idle}[5m])) by instance); Node Memory available; Node Disk I/O; Node Network bytes,16-Nov-26,18-Nov-26,-,Not Started,High,LD-27,0%,2,Node saturation visible before Pods fail; helps plan cluster scale-out
LD-31,P6 — K8s Dash,Pod + HPA + Deployment Dashboard,Grafana panels: Pod CPU/RAM per namespace; HPA desired vs current replicas; Deployment ready vs desired; Pod phase distribution (Running/Pending/Failed),18-Nov-26,20-Nov-26,-,Not Started,High,"LD-27,LD-28,LD-07",0%,2,HPA scale events visible; Deployment health at a glance; Pod phases breakdown
LD-32,P6 — K8s Dash,Dapr Observability in Grafana,Configure Dapr metrics scraping in Prometheus; add Dapr dashboard in Grafana showing service-to-service call latency and success rate; correlate Dapr traces in Tempo + Dynatrace,20-Nov-26,23-Nov-26,-,Not Started,Medium,Dapr + OTel running,0%,2,Dapr service call latency visible in Grafana; traceId from Dapr spans appears in both Tempo and Dynatrace
